id,pred,split
docvqa_docvqa_0_4,dummy,public
docvqa_docvqa_5_0,dummy,public
docvqa_docvqa_12_0,dummy,public
docvqa_docvqa_21_2,dummy,public
docvqa_docvqa_35_1,dummy,public
docvqa_docvqa_46_1,dummy,public
docvqa_docvqa_51_1,dummy,public
docvqa_docvqa_58_6,dummy,public
docvqa_docvqa_62_0,dummy,public
docvqa_docvqa_63_0,dummy,public
docvqa_docvqa_83_2,dummy,public
docvqa_docvqa_88_1,dummy,public
docvqa_docvqa_90_1,dummy,public
docvqa_docvqa_107_3,dummy,public
docvqa_docvqa_111_4,dummy,public
docvqa_docvqa_123_3,dummy,public
docvqa_docvqa_123_7,dummy,public
docvqa_docvqa_127_3,dummy,public
docvqa_docvqa_131_3,dummy,public
docvqa_docvqa_132_1,dummy,public
docvqa_docvqa_136_0,dummy,public
docvqa_docvqa_151_2,dummy,public
docvqa_docvqa_152_1,dummy,public
docvqa_docvqa_163_0,dummy,public
docvqa_docvqa_165_3,dummy,public
docvqa_docvqa_172_0,dummy,public
docvqa_docvqa_176_0,dummy,public
docvqa_docvqa_178_2,dummy,public
docvqa_docvqa_182_6,dummy,public
docvqa_docvqa_189_2,dummy,public
docvqa_docvqa_191_5,dummy,public
docvqa_docvqa_192_0,dummy,public
docvqa_docvqa_200_5,dummy,public
docvqa_docvqa_206_3,dummy,public
docvqa_docvqa_210_1,dummy,public
docvqa_docvqa_210_2,dummy,public
docvqa_docvqa_210_5,dummy,public
docvqa_docvqa_216_3,dummy,public
docvqa_docvqa_228_4,dummy,public
docvqa_docvqa_234_1,dummy,public
docvqa_docvqa_236_0,dummy,public
docvqa_docvqa_241_0,dummy,public
docvqa_docvqa_267_1,dummy,public
docvqa_docvqa_270_2,dummy,public
docvqa_docvqa_276_0,dummy,public
docvqa_docvqa_301_1,dummy,public
docvqa_docvqa_308_0,dummy,public
docvqa_docvqa_314_0,dummy,public
docvqa_docvqa_318_1,dummy,public
docvqa_docvqa_319_2,dummy,public
docvqa_docvqa_321_0,dummy,public
docvqa_docvqa_324_0,dummy,public
docvqa_docvqa_327_0,dummy,public
docvqa_docvqa_333_1,dummy,public
docvqa_docvqa_344_0,dummy,public
docvqa_docvqa_360_0,dummy,public
docvqa_docvqa_384_8,dummy,public
docvqa_docvqa_397_0,dummy,public
docvqa_docvqa_397_1,dummy,public
docvqa_docvqa_401_1,dummy,public
docvqa_docvqa_417_0,dummy,public
docvqa_docvqa_420_0,dummy,public
docvqa_docvqa_421_0,dummy,public
docvqa_docvqa_426_0,dummy,public
docvqa_docvqa_431_4,dummy,public
docvqa_docvqa_437_3,dummy,public
docvqa_docvqa_439_1,dummy,public
docvqa_docvqa_439_4,dummy,public
docvqa_docvqa_440_5,dummy,public
docvqa_docvqa_446_1,dummy,public
docvqa_docvqa_450_0,dummy,public
docvqa_docvqa_456_5,dummy,public
docvqa_docvqa_459_2,dummy,public
docvqa_docvqa_465_2,dummy,public
docvqa_docvqa_466_0,dummy,public
docvqa_docvqa_476_0,dummy,public
docvqa_docvqa_478_3,dummy,public
docvqa_docvqa_487_1,dummy,public
docvqa_docvqa_487_2,dummy,public
docvqa_docvqa_491_0,dummy,public
docvqa_docvqa_492_5,dummy,public
docvqa_docvqa_499_1,dummy,public
docvqa_docvqa_516_1,dummy,public
docvqa_docvqa_517_3,dummy,public
docvqa_docvqa_518_7,dummy,public
docvqa_docvqa_519_1,dummy,public
docvqa_docvqa_520_0,dummy,public
docvqa_docvqa_524_0,dummy,public
docvqa_docvqa_525_1,dummy,public
docvqa_docvqa_526_4,dummy,public
docvqa_docvqa_529_1,dummy,public
docvqa_docvqa_538_1,dummy,public
docvqa_docvqa_543_0,dummy,public
docvqa_docvqa_543_1,dummy,public
docvqa_docvqa_543_2,dummy,public
docvqa_docvqa_562_2,dummy,public
docvqa_docvqa_567_6,dummy,public
docvqa_docvqa_569_0,dummy,public
docvqa_docvqa_578_3,dummy,public
docvqa_docvqa_599_0,dummy,public
docvqa_docvqa_605_3,dummy,public
docvqa_docvqa_609_0,dummy,public
docvqa_docvqa_610_0,dummy,public
docvqa_docvqa_626_7,dummy,public
docvqa_docvqa_627_0,dummy,public
docvqa_docvqa_652_7,dummy,public
docvqa_docvqa_656_4,dummy,public
docvqa_docvqa_656_5,dummy,public
docvqa_docvqa_660_9,dummy,public
docvqa_docvqa_678_5,dummy,public
docvqa_docvqa_685_2,dummy,public
docvqa_docvqa_691_2,dummy,public
docvqa_docvqa_692_1,dummy,public
docvqa_docvqa_694_3,dummy,public
docvqa_docvqa_697_1,dummy,public
docvqa_docvqa_707_1,dummy,public
docvqa_docvqa_714_0,dummy,public
docvqa_docvqa_714_4,dummy,public
docvqa_docvqa_722_1,dummy,public
docvqa_docvqa_724_1,dummy,public
docvqa_docvqa_725_3,dummy,public
docvqa_docvqa_725_4,dummy,public
docvqa_docvqa_727_7,dummy,public
docvqa_docvqa_732_1,dummy,public
docvqa_docvqa_749_1,dummy,public
docvqa_docvqa_758_0,dummy,public
docvqa_docvqa_759_2,dummy,public
docvqa_docvqa_763_0,dummy,public
docvqa_docvqa_798_3,dummy,public
docvqa_docvqa_802_1,dummy,public
docvqa_docvqa_802_3,dummy,public
docvqa_docvqa_803_3,dummy,public
docvqa_docvqa_803_7,dummy,public
docvqa_docvqa_811_2,dummy,public
docvqa_docvqa_821_6,dummy,public
docvqa_docvqa_830_1,dummy,public
docvqa_docvqa_857_0,dummy,public
docvqa_docvqa_861_1,dummy,public
docvqa_docvqa_864_6,dummy,public
docvqa_docvqa_865_1,dummy,public
docvqa_docvqa_878_4,dummy,public
docvqa_docvqa_880_0,dummy,public
docvqa_docvqa_884_6,dummy,public
docvqa_docvqa_898_7,dummy,public
docvqa_docvqa_913_1,dummy,public
docvqa_docvqa_932_0,dummy,public
docvqa_docvqa_939_1,dummy,public
docvqa_docvqa_952_0,dummy,public
docvqa_docvqa_960_3,dummy,public
docvqa_docvqa_963_2,dummy,public
docvqa_docvqa_971_3,dummy,public
docvqa_docvqa_974_1,dummy,public
docvqa_docvqa_977_5,dummy,public
docvqa_docvqa_1000_0,dummy,public
docvqa_docvqa_1024_2,dummy,public
docvqa_docvqa_1028_0,dummy,public
docvqa_docvqa_1032_0,dummy,public
docvqa_docvqa_1038_3,dummy,public
docvqa_docvqa_1041_5,dummy,public
docvqa_docvqa_1045_5,dummy,public
docvqa_docvqa_1047_0,dummy,public
docvqa_docvqa_1049_2,dummy,public
docvqa_docvqa_1050_0,dummy,public
docvqa_docvqa_1050_1,dummy,public
docvqa_docvqa_1064_0,dummy,public
docvqa_docvqa_1064_3,dummy,public
docvqa_docvqa_1072_1,dummy,public
docvqa_docvqa_1078_4,dummy,public
docvqa_docvqa_1080_3,dummy,public
docvqa_docvqa_1089_3,dummy,public
docvqa_docvqa_1098_1,dummy,public
docvqa_docvqa_1098_2,dummy,public
docvqa_docvqa_1108_0,dummy,public
docvqa_docvqa_1108_1,dummy,public
docvqa_docvqa_1127_3,dummy,public
docvqa_docvqa_1141_0,dummy,public
docvqa_docvqa_1143_3,dummy,public
docvqa_docvqa_1151_0,dummy,public
docvqa_docvqa_1153_2,dummy,public
docvqa_docvqa_1161_9,dummy,public
docvqa_docvqa_1162_3,dummy,public
docvqa_docvqa_1169_1,dummy,public
docvqa_docvqa_1177_3,dummy,public
docvqa_docvqa_1180_2,dummy,public
docvqa_docvqa_1186_1,dummy,public
docvqa_docvqa_1191_3,dummy,public
docvqa_docvqa_1192_1,dummy,public
docvqa_docvqa_1210_0,dummy,public
docvqa_docvqa_1225_6,dummy,public
docvqa_docvqa_1230_4,dummy,public
docvqa_docvqa_1233_2,dummy,public
docvqa_docvqa_1248_1,dummy,public
docvqa_docvqa_1249_1,dummy,public
docvqa_docvqa_1255_0,dummy,public
docvqa_docvqa_1257_1,dummy,public
docvqa_docvqa_1259_2,dummy,public
docvqa_docvqa_1261_1,dummy,public
docvqa_docvqa_1265_4,dummy,public
docvqa_docvqa_1276_2,dummy,public
docvqa_docvqa_1281_0,dummy,public
infographicvqa_infographicvqa_1_0_2,dummy,public
infographicvqa_infographicvqa_1_1_2,dummy,public
infographicvqa_infographicvqa_1_3_0,dummy,public
infographicvqa_infographicvqa_1_6_2,dummy,public
infographicvqa_infographicvqa_1_12_1,dummy,public
infographicvqa_infographicvqa_1_16_2,dummy,public
infographicvqa_infographicvqa_1_17_0,dummy,public
infographicvqa_infographicvqa_1_19_3,dummy,public
infographicvqa_infographicvqa_1_20_5,dummy,public
infographicvqa_infographicvqa_1_20_6,dummy,public
infographicvqa_infographicvqa_1_25_5,dummy,public
infographicvqa_infographicvqa_1_27_1,dummy,public
infographicvqa_infographicvqa_1_28_2,dummy,public
infographicvqa_infographicvqa_1_31_7,dummy,public
infographicvqa_infographicvqa_1_32_6,dummy,public
infographicvqa_infographicvqa_1_36_2,dummy,public
infographicvqa_infographicvqa_1_37_10,dummy,public
infographicvqa_infographicvqa_1_38_0,dummy,public
infographicvqa_infographicvqa_1_38_1,dummy,public
infographicvqa_infographicvqa_1_39_0,dummy,public
infographicvqa_infographicvqa_1_41_12,dummy,public
infographicvqa_infographicvqa_1_42_1,dummy,public
infographicvqa_infographicvqa_1_45_3,dummy,public
infographicvqa_infographicvqa_1_46_1,dummy,public
infographicvqa_infographicvqa_1_49_2,dummy,public
infographicvqa_infographicvqa_1_49_9,dummy,public
infographicvqa_infographicvqa_1_49_13,dummy,public
infographicvqa_infographicvqa_1_53_0,dummy,public
infographicvqa_infographicvqa_1_56_1,dummy,public
infographicvqa_infographicvqa_1_56_6,dummy,public
infographicvqa_infographicvqa_1_56_7,dummy,public
infographicvqa_infographicvqa_1_61_1,dummy,public
infographicvqa_infographicvqa_1_66_4,dummy,public
infographicvqa_infographicvqa_1_67_6,dummy,public
infographicvqa_infographicvqa_1_68_1,dummy,public
infographicvqa_infographicvqa_1_70_2,dummy,public
infographicvqa_infographicvqa_1_75_2,dummy,public
infographicvqa_infographicvqa_1_75_6,dummy,public
infographicvqa_infographicvqa_1_76_9,dummy,public
infographicvqa_infographicvqa_1_82_9,dummy,public
infographicvqa_infographicvqa_1_83_4,dummy,public
infographicvqa_infographicvqa_1_87_2,dummy,public
infographicvqa_infographicvqa_1_95_4,dummy,public
infographicvqa_infographicvqa_1_96_3,dummy,public
infographicvqa_infographicvqa_1_99_1,dummy,public
infographicvqa_infographicvqa_1_99_7,dummy,public
infographicvqa_infographicvqa_1_99_9,dummy,public
infographicvqa_infographicvqa_1_99_15,dummy,public
infographicvqa_infographicvqa_1_100_2,dummy,public
infographicvqa_infographicvqa_1_100_5,dummy,public
infographicvqa_infographicvqa_1_101_3,dummy,public
infographicvqa_infographicvqa_1_104_0,dummy,public
infographicvqa_infographicvqa_1_107_7,dummy,public
infographicvqa_infographicvqa_1_119_0,dummy,public
infographicvqa_infographicvqa_1_123_4,dummy,public
infographicvqa_infographicvqa_1_125_1,dummy,public
infographicvqa_infographicvqa_1_133_2,dummy,public
infographicvqa_infographicvqa_1_134_5,dummy,public
infographicvqa_infographicvqa_1_134_8,dummy,public
infographicvqa_infographicvqa_1_134_11,dummy,public
infographicvqa_infographicvqa_1_135_10,dummy,public
infographicvqa_infographicvqa_1_135_24,dummy,public
infographicvqa_infographicvqa_1_135_27,dummy,public
infographicvqa_infographicvqa_1_136_0,dummy,public
infographicvqa_infographicvqa_1_137_0,dummy,public
infographicvqa_infographicvqa_1_140_0,dummy,public
infographicvqa_infographicvqa_1_143_6,dummy,public
infographicvqa_infographicvqa_1_145_1,dummy,public
infographicvqa_infographicvqa_1_149_4,dummy,public
infographicvqa_infographicvqa_1_150_0,dummy,public
infographicvqa_infographicvqa_1_157_1,dummy,public
infographicvqa_infographicvqa_1_160_3,dummy,public
infographicvqa_infographicvqa_1_165_0,dummy,public
infographicvqa_infographicvqa_1_165_1,dummy,public
infographicvqa_infographicvqa_1_167_4,dummy,public
infographicvqa_infographicvqa_1_169_7,dummy,public
infographicvqa_infographicvqa_1_180_1,dummy,public
infographicvqa_infographicvqa_1_180_3,dummy,public
infographicvqa_infographicvqa_1_180_8,dummy,public
infographicvqa_infographicvqa_1_180_9,dummy,public
infographicvqa_infographicvqa_1_181_0,dummy,public
infographicvqa_infographicvqa_1_184_2,dummy,public
infographicvqa_infographicvqa_1_184_3,dummy,public
infographicvqa_infographicvqa_1_185_1,dummy,public
infographicvqa_infographicvqa_1_186_1,dummy,public
infographicvqa_infographicvqa_1_192_2,dummy,public
infographicvqa_infographicvqa_1_192_14,dummy,public
infographicvqa_infographicvqa_1_192_15,dummy,public
infographicvqa_infographicvqa_1_198_6,dummy,public
infographicvqa_infographicvqa_1_201_6,dummy,public
infographicvqa_infographicvqa_1_201_8,dummy,public
infographicvqa_infographicvqa_1_208_0,dummy,public
infographicvqa_infographicvqa_1_219_0,dummy,public
infographicvqa_infographicvqa_1_222_4,dummy,public
infographicvqa_infographicvqa_1_225_0,dummy,public
infographicvqa_infographicvqa_1_225_4,dummy,public
infographicvqa_infographicvqa_1_232_1,dummy,public
infographicvqa_infographicvqa_1_233_0,dummy,public
