id,pred,split
docvqa_docvqa_0_4,0.24,public
docvqa_docvqa_5_0,12:25 to 12:58 p.m.,public
docvqa_docvqa_12_0,70,public
docvqa_docvqa_21_2,Financial report,public
docvqa_docvqa_35_1,Autumn 1969,public
docvqa_docvqa_46_1,Brown & williamson tobacco corporation,public
docvqa_docvqa_51_1,78.2,public
docvqa_docvqa_58_6,Helpful hints,public
docvqa_docvqa_62_0,14-3006-14,public
docvqa_docvqa_63_0,Sidestream smoke chamber,public
docvqa_docvqa_83_2,101.91,public
docvqa_docvqa_88_1,Ollve Investment & Finance Limited,public
docvqa_docvqa_90_1,1994,public
docvqa_docvqa_107_3,Royal crown cola co,public
docvqa_docvqa_111_4,P3(7),public
docvqa_docvqa_123_3,"$64,141.70",public
docvqa_docvqa_123_7,2740,public
docvqa_docvqa_127_3,7,public
docvqa_docvqa_131_3,Salzman,public
docvqa_docvqa_132_1,G. L. K. Hunter,public
docvqa_docvqa_136_0,2,public
docvqa_docvqa_151_2,2,public
docvqa_docvqa_152_1,Megestrol acetate,public
docvqa_docvqa_163_0,Budget,public
docvqa_docvqa_165_3,"January 14, 1999",public
docvqa_docvqa_172_0,"$70,000 - $140,000",public
docvqa_docvqa_176_0,$1.3 billion,public
docvqa_docvqa_178_2,"$1,500",public
docvqa_docvqa_182_6,G. N Kuruc,public
docvqa_docvqa_189_2,Dr. Samuel Guze,public
docvqa_docvqa_191_5,10,public
docvqa_docvqa_192_0,Goal No 6 Vitamin and Vitamin Fortification of heat Products Tunisie,public
docvqa_docvqa_200_5,17.5,public
docvqa_docvqa_206_3,12:30,public
docvqa_docvqa_210_1,3,public
docvqa_docvqa_210_2,3,public
docvqa_docvqa_210_5,6/7,public
docvqa_docvqa_216_3,Jen Shluv,public
docvqa_docvqa_228_4,Y. C. Deveshwar,public
docvqa_docvqa_234_1,Complete Ware II HSB,public
docvqa_docvqa_236_0,18.81,public
docvqa_docvqa_241_0,910-741-4955,public
docvqa_docvqa_267_1,27.61,public
docvqa_docvqa_270_2,130 lbs,public
docvqa_docvqa_276_0,1,public
docvqa_docvqa_301_1,1905,public
docvqa_docvqa_308_0,71.27,public
docvqa_docvqa_314_0,J.m. Campbell,public
docvqa_docvqa_318_1,1,public
docvqa_docvqa_319_2,08/05/2013,public
docvqa_docvqa_321_0,Cardiovascular,public
docvqa_docvqa_324_0,Finatize Priority Designation,public
docvqa_docvqa_327_0,Office of water,public
docvqa_docvqa_333_1,Shift the paradigm from glucose control to treating insulin resistance,public
docvqa_docvqa_344_0,2:13-cv-170,public
docvqa_docvqa_360_0,Consideration of substitutes in pre-prioritization,public
docvqa_docvqa_384_8,2010,public
docvqa_docvqa_397_0,Nrdc,public
docvqa_docvqa_397_1,26,public
docvqa_docvqa_401_1,E G Farr,public
docvqa_docvqa_417_0,9:00,public
docvqa_docvqa_420_0,$850.00,public
docvqa_docvqa_421_0,President trump,public
docvqa_docvqa_426_0,1st Quarter Intercept Coupon Program,public
docvqa_docvqa_431_4,M-w-f,public
docvqa_docvqa_437_3,28621,public
docvqa_docvqa_439_1,September 28,public
docvqa_docvqa_439_4,September 28,public
docvqa_docvqa_440_5,1/1/2010,public
docvqa_docvqa_446_1,[contact information],public
docvqa_docvqa_450_0,Pennsylvania avenue,public
docvqa_docvqa_456_5,100,public
docvqa_docvqa_459_2,Envelope,public
docvqa_docvqa_465_2,Taurine,public
docvqa_docvqa_466_0,Hilo,public
docvqa_docvqa_476_0,2:21,public
docvqa_docvqa_478_3,318,public
docvqa_docvqa_487_1,Esq,public
docvqa_docvqa_487_2,Richard M Stalvey,public
docvqa_docvqa_491_0,Number of patients,public
docvqa_docvqa_492_5,06/10/76,public
docvqa_docvqa_499_1,Fish eggs fruits vegetables whole grain breads and cereals,public
docvqa_docvqa_516_1,3847-383-3243,public
docvqa_docvqa_517_3,Status,public
docvqa_docvqa_518_7,Wheat eaters,public
docvqa_docvqa_519_1,D. C. Fle,public
docvqa_docvqa_520_0,Energy consumption per capita,public
docvqa_docvqa_524_0,What is the title of the document?,public
docvqa_docvqa_525_1,2,public
docvqa_docvqa_526_4,1983,public
docvqa_docvqa_529_1,02/25/1991,public
docvqa_docvqa_538_1,3,public
docvqa_docvqa_543_0,Johnstown,public
docvqa_docvqa_543_1,"March 1, 1963",public
docvqa_docvqa_543_2,Well water,public
docvqa_docvqa_562_2,Maternal and child health,public
docvqa_docvqa_567_6,1030,public
docvqa_docvqa_569_0,January 1969,public
docvqa_docvqa_578_3,Dr. G. Arroyave,public
docvqa_docvqa_599_0,Dr M. Hitchcock,public
docvqa_docvqa_605_3,Maryland,public
docvqa_docvqa_609_0,Thomas jefferson,public
docvqa_docvqa_610_0,Uc,public
docvqa_docvqa_626_7,1-20%,public
docvqa_docvqa_627_0,Boston,public
docvqa_docvqa_652_7,Tuesday,public
docvqa_docvqa_656_4,3446100,public
docvqa_docvqa_656_5,3446100,public
docvqa_docvqa_660_9,Washington university,public
docvqa_docvqa_678_5,1,public
docvqa_docvqa_685_2,Ocean course,public
docvqa_docvqa_691_2,Service and regulatory,public
docvqa_docvqa_692_1,07-05-54,public
docvqa_docvqa_694_3,Priority 1B,public
docvqa_docvqa_697_1,From high school to college,public
docvqa_docvqa_707_1,Loula v flacd jr,public
docvqa_docvqa_714_0,"September 1, 1998",public
docvqa_docvqa_714_4,5505580,public
docvqa_docvqa_722_1,2,public
docvqa_docvqa_724_1,Budget,public
docvqa_docvqa_725_3,601758,public
docvqa_docvqa_725_4,10/28/96,public
docvqa_docvqa_727_7,Suction cup,public
docvqa_docvqa_732_1,Eclipse,public
docvqa_docvqa_749_1,"May 5,1997",public
docvqa_docvqa_758_0,Published,public
docvqa_docvqa_759_2,Pornel,public
docvqa_docvqa_763_0,[pottsr@rjrt.com](mailto:pottsr@rj,public
docvqa_docvqa_798_3,R.J Reynolds Tobacco Co,public
docvqa_docvqa_802_1,"888, 900",public
docvqa_docvqa_802_3,"10,000",public
docvqa_docvqa_803_3,"20,000",public
docvqa_docvqa_803_7,"$10,000",public
docvqa_docvqa_811_2,0,public
docvqa_docvqa_821_6,Florence,public
docvqa_docvqa_830_1,Alice Ria,public
docvqa_docvqa_857_0,1-800-323-7445,public
docvqa_docvqa_861_1,American Automobile Manufacturers Association,public
docvqa_docvqa_864_6,James W. Mckee,public
docvqa_docvqa_865_1,919-4841,public
docvqa_docvqa_878_4,"815,000.00",public
docvqa_docvqa_880_0,Appendix,public
docvqa_docvqa_884_6,6094972304,public
docvqa_docvqa_898_7,"100,000",public
docvqa_docvqa_913_1,Objectives,public
docvqa_docvqa_932_0,Equity Holding Promoters & Major Investors,public
docvqa_docvqa_939_1,Sanjay Gupta,public
docvqa_docvqa_952_0,Director,public
docvqa_docvqa_960_3,"102,168",public
docvqa_docvqa_963_2,Nutrition,public
docvqa_docvqa_971_3,Chemical analysis,public
docvqa_docvqa_974_1,8.20%,public
docvqa_docvqa_977_5,Jim Merusi,public
docvqa_docvqa_1000_0,"7,34,18,305",public
docvqa_docvqa_1024_2,University of Zurich,public
docvqa_docvqa_1028_0,"$34,000",public
docvqa_docvqa_1032_0,Chicago,public
docvqa_docvqa_1038_3,1,public
docvqa_docvqa_1041_5,1001,public
docvqa_docvqa_1045_5,14,public
docvqa_docvqa_1047_0,Department of nutrition and food science,public
docvqa_docvqa_1049_2,"National Heart, Lung, and Blood Institute",public
docvqa_docvqa_1050_0,College of osteopathic medicine,public
docvqa_docvqa_1050_1,200.00,public
docvqa_docvqa_1064_0,Table 2,public
docvqa_docvqa_1064_3,2,public
docvqa_docvqa_1072_1,$100,public
docvqa_docvqa_1078_4,4.3,public
docvqa_docvqa_1080_3,65,public
docvqa_docvqa_1089_3,Taken in afternoon,public
docvqa_docvqa_1098_1,39,public
docvqa_docvqa_1098_2,40,public
docvqa_docvqa_1108_0,1,public
docvqa_docvqa_1108_1,1,public
docvqa_docvqa_1127_3,Protection of Law Homoprotein Polymerizing Polymerizing Polymerizing,public
docvqa_docvqa_1141_0,12,public
docvqa_docvqa_1143_3,93637,public
docvqa_docvqa_1151_0,12.0-13.9,public
docvqa_docvqa_1153_2,Captain,public
docvqa_docvqa_1161_9,700399,public
docvqa_docvqa_1162_3,3.9,public
docvqa_docvqa_1169_1,4.07,public
docvqa_docvqa_1177_3,1,public
docvqa_docvqa_1180_2,Arlington,public
docvqa_docvqa_1186_1,Accidents,public
docvqa_docvqa_1191_3,25%,public
docvqa_docvqa_1192_1,Summary,public
docvqa_docvqa_1210_0,Segment Profiles,public
docvqa_docvqa_1225_6,Tonne,public
docvqa_docvqa_1230_4,129.5,public
docvqa_docvqa_1233_2,1/16 tsp,public
docvqa_docvqa_1248_1,Balance sheet,public
docvqa_docvqa_1249_1,,public
docvqa_docvqa_1255_0,4950,public
docvqa_docvqa_1257_1,Ambassador hotel,public
docvqa_docvqa_1259_2,20,public
docvqa_docvqa_1261_1,Australia,public
docvqa_docvqa_1265_4,Doral 1299 BTOG2F,public
docvqa_docvqa_1276_2,Yogesh Chander Deveshwar,public
docvqa_docvqa_1281_0,Medical,public
infographicvqa_infographicvqa_1_0_2,LinkedIn and Instagram,public
infographicvqa_infographicvqa_1_1_2,Facebook,public
infographicvqa_infographicvqa_1_3_0,Developed by understanding audience,public
infographicvqa_infographicvqa_1_6_2,45,public
infographicvqa_infographicvqa_1_12_1,10,public
infographicvqa_infographicvqa_1_16_2,29%,public
infographicvqa_infographicvqa_1_17_0,36,public
infographicvqa_infographicvqa_1_19_3,Pietersen,public
infographicvqa_infographicvqa_1_20_5,,public
infographicvqa_infographicvqa_1_20_6,,public
infographicvqa_infographicvqa_1_25_5,18,public
infographicvqa_infographicvqa_1_27_1,1,public
infographicvqa_infographicvqa_1_28_2,2,public
infographicvqa_infographicvqa_1_31_7,m100000010,public
infographicvqa_infographicvqa_1_32_6,Pakistan,public
infographicvqa_infographicvqa_1_36_2,OOOOOOOOOOOOOOO<O<OO,public
infographicvqa_infographicvqa_1_37_10,oooooooooooooooooooo,public
infographicvqa_infographicvqa_1_38_0,Kathmandu,public
infographicvqa_infographicvqa_1_38_1,1,public
infographicvqa_infographicvqa_1_39_0,16,public
infographicvqa_infographicvqa_1_41_12,Directly extracting the words from the image,public
infographicvqa_infographicvqa_1_42_1,Clay,public
infographicvqa_infographicvqa_1_45_3,1932,public
infographicvqa_infographicvqa_1_46_1,Jakarta,public
infographicvqa_infographicvqa_1_49_2,2001,public
infographicvqa_infographicvqa_1_49_9,1993-2004,public
infographicvqa_infographicvqa_1_49_13,1,public
infographicvqa_infographicvqa_1_53_0,0-4,public
infographicvqa_infographicvqa_1_56_1,19,public
infographicvqa_infographicvqa_1_56_6,1 in 5 teenage girls in the US has been asked to send nude or,public
infographicvqa_infographicvqa_1_56_7,2.5,public
infographicvqa_infographicvqa_1_61_1,South,public
infographicvqa_infographicvqa_1_66_4,137,public
infographicvqa_infographicvqa_1_67_6,105,public
infographicvqa_infographicvqa_1_68_1,1,public
infographicvqa_infographicvqa_1_70_2,OO0000000000000OOOOO,public
infographicvqa_infographicvqa_1_75_2,18-29,public
infographicvqa_infographicvqa_1_75_6,18-29,public
infographicvqa_infographicvqa_1_76_9,18x20,public
infographicvqa_infographicvqa_1_82_9,1,public
infographicvqa_infographicvqa_1_83_4,Facebook,public
infographicvqa_infographicvqa_1_87_2,73%,public
infographicvqa_infographicvqa_1_95_4,"Fish, milk, bananas",public
infographicvqa_infographicvqa_1_96_3,Waning,public
infographicvqa_infographicvqa_1_99_1,53.758,public
infographicvqa_infographicvqa_1_99_7,Nba,public
infographicvqa_infographicvqa_1_99_9,Nfl,public
infographicvqa_infographicvqa_1_99_15,New york yankees,public
infographicvqa_infographicvqa_1_100_2,Snapchat is used for sharing photos and 15 second videos.,public
infographicvqa_infographicvqa_1_100_5,Facebook,public
infographicvqa_infographicvqa_1_101_3,1,public
infographicvqa_infographicvqa_1_104_0,Needs extreme security in relationships,public
infographicvqa_infographicvqa_1_107_7,10,public
infographicvqa_infographicvqa_1_119_0,"Solid, liquid, gas",public
infographicvqa_infographicvqa_1_123_4,OOOOOOOOOdOdOd�OOOOO,public
infographicvqa_infographicvqa_1_125_1,Chemistry,public
infographicvqa_infographicvqa_1_133_2,1,public
infographicvqa_infographicvqa_1_134_5,1,public
infographicvqa_infographicvqa_1_134_8,67.5%,public
infographicvqa_infographicvqa_1_134_11,1,public
infographicvqa_infographicvqa_1_135_10,2004,public
infographicvqa_infographicvqa_1_135_24,Facebook,public
infographicvqa_infographicvqa_1_135_27,2013,public
infographicvqa_infographicvqa_1_136_0,1.4%,public
infographicvqa_infographicvqa_1_137_0,30-45 years old,public
infographicvqa_infographicvqa_1_140_0,oYYYYYYYYYYYYYYYYYYY,public
infographicvqa_infographicvqa_1_143_6,23%,public
infographicvqa_infographicvqa_1_145_1,oooooooooooooooooooo,public
infographicvqa_infographicvqa_1_149_4,Battle of el alamein,public
infographicvqa_infographicvqa_1_150_0,10 hours,public
infographicvqa_infographicvqa_1_157_1,<<<<<<<<<<<<<<<<<<<<,public
infographicvqa_infographicvqa_1_160_3,2006,public
infographicvqa_infographicvqa_1_165_0,30%,public
infographicvqa_infographicvqa_1_165_1,25.40,public
infographicvqa_infographicvqa_1_167_4,24%,public
infographicvqa_infographicvqa_1_169_7,Russia,public
infographicvqa_infographicvqa_1_180_1,30,public
infographicvqa_infographicvqa_1_180_3,Great britain,public
infographicvqa_infographicvqa_1_180_8,Great britain,public
infographicvqa_infographicvqa_1_180_9,Nigeria,public
infographicvqa_infographicvqa_1_181_0,3 million,public
infographicvqa_infographicvqa_1_184_2,France,public
infographicvqa_infographicvqa_1_184_3,290,public
infographicvqa_infographicvqa_1_185_1,oooooooooooooooooooo,public
infographicvqa_infographicvqa_1_186_1,Union,public
infographicvqa_infographicvqa_1_192_2,Time stone,public
infographicvqa_infographicvqa_1_192_14,"Iron Man, The Incredible Hulk, Iron Man 2, Thor, Captain America:",public
infographicvqa_infographicvqa_1_192_15,1,public
infographicvqa_infographicvqa_1_198_6,Skype,public
infographicvqa_infographicvqa_1_201_6,"19,334",public
infographicvqa_infographicvqa_1_201_8,58%,public
infographicvqa_infographicvqa_1_208_0,1,public
infographicvqa_infographicvqa_1_219_0,17.4%,public
infographicvqa_infographicvqa_1_222_4,60 days,public
infographicvqa_infographicvqa_1_225_0,$1.8 million,public
infographicvqa_infographicvqa_1_225_4,Humanitarian support,public
infographicvqa_infographicvqa_1_232_1,2,public
infographicvqa_infographicvqa_1_233_0,Not exist explicitly as span of document,public
infographicvqa_infographicvqa_1_243_2,82.49,public
infographicvqa_infographicvqa_1_247_1,oooooooooooooooooooo,public
infographicvqa_infographicvqa_1_248_9,Degree Educated,public
infographicvqa_infographicvqa_1_256_9,20,public
infographicvqa_infographicvqa_1_260_3,6.7,public
infographicvqa_infographicvqa_1_261_6,57%,public
infographicvqa_infographicvqa_1_262_0,1,public
infographicvqa_infographicvqa_1_264_0,2.5,public
infographicvqa_infographicvqa_1_265_3,3.,public
infographicvqa_infographicvqa_1_267_8,dummy,public
infographicvqa_infographicvqa_1_271_1,52.3,public
infographicvqa_infographicvqa_1_271_3,56%,public
infographicvqa_infographicvqa_1_275_0,6 years,public
infographicvqa_infographicvqa_1_275_4,2008,public
infographicvqa_infographicvqa_1_276_0,3,public
infographicvqa_infographicvqa_1_277_2,s0000000000000000000,public
infographicvqa_infographicvqa_1_279_1,6396,public
infographicvqa_infographicvqa_1_290_8,China,public
infographicvqa_infographicvqa_1_292_6,Compact disc,public
infographicvqa_infographicvqa_1_292_7,Film,public
infographicvqa_infographicvqa_1_293_1,<<<<<o<O<O<O<O<O<<o0,public
infographicvqa_infographicvqa_1_302_4,17.7,public
infographicvqa_infographicvqa_1_303_4,1.2,public
infographicvqa_infographicvqa_1_304_0,Gif,public
infographicvqa_infographicvqa_1_304_2,256,public
infographicvqa_infographicvqa_1_304_4,PNG-8,public
infographicvqa_infographicvqa_1_307_4,43%,public
infographicvqa_infographicvqa_1_309_10,150,public
infographicvqa_infographicvqa_1_312_6,2,public
infographicvqa_infographicvqa_1_318_18,Charlie brown,public
infographicvqa_infographicvqa_1_321_1,4,public
infographicvqa_infographicvqa_1_323_3,China,public
infographicvqa_infographicvqa_1_324_0,14,public
infographicvqa_infographicvqa_1_327_4,Optical,public
infographicvqa_infographicvqa_1_327_6,Capacitive,public
infographicvqa_infographicvqa_1_331_0,2,public
infographicvqa_infographicvqa_1_334_1,1912-2011,public
infographicvqa_infographicvqa_1_340_0,52,public
infographicvqa_infographicvqa_1_347_1,Hong Kong,public
infographicvqa_infographicvqa_1_349_4,BASF,public
infographicvqa_infographicvqa_1_353_1,Northern Ireland,public
infographicvqa_infographicvqa_1_357_1,41%,public
infographicvqa_infographicvqa_1_359_4,"8,236",public
infographicvqa_infographicvqa_1_363_3,Free Breakfast,public
infographicvqa_infographicvqa_1_365_0,37,public
infographicvqa_infographicvqa_1_367_2,Chelsea Board of Health,public
infographicvqa_infographicvqa_1_375_0,1,public
infographicvqa_infographicvqa_1_381_3,"Fever, cough, difficulty breathing",public
infographicvqa_infographicvqa_1_382_0,North america,public
infographicvqa_infographicvqa_1_385_0,"Groupon, Living social and others",public
infographicvqa_infographicvqa_1_389_0,11,public
infographicvqa_infographicvqa_1_392_0,1.5 billion,public
infographicvqa_infographicvqa_1_393_8,280,public
infographicvqa_infographicvqa_1_395_0,100,public
infographicvqa_infographicvqa_1_395_8,Tertiary,public
infographicvqa_infographicvqa_1_395_9,21.4%,public
infographicvqa_infographicvqa_1_396_0,4.6B,public
infographicvqa_infographicvqa_1_403_0,48%,public
infographicvqa_infographicvqa_1_403_1,39%,public
infographicvqa_infographicvqa_1_406_3,2.6 billion,public
infographicvqa_infographicvqa_1_407_5,Nordea,public
infographicvqa_infographicvqa_1_407_10,Wells fargo,public
infographicvqa_infographicvqa_1_409_1,$1.5B,public
infographicvqa_infographicvqa_1_413_3,10%,public
infographicvqa_infographicvqa_1_413_4,61112,public
infographicvqa_infographicvqa_1_422_0,10,public
infographicvqa_infographicvqa_1_432_8,Visa,public
infographicvqa_infographicvqa_1_436_6,16,public
infographicvqa_infographicvqa_1_436_10,44000,public
infographicvqa_infographicvqa_1_440_1,1,public
infographicvqa_infographicvqa_1_441_4,5,public
infographicvqa_infographicvqa_1_445_8,118,public
infographicvqa_infographicvqa_1_446_1,3106,public
infographicvqa_infographicvqa_1_447_2,Hand wash,public
infographicvqa_infographicvqa_1_452_1,"2,000,000",public
infographicvqa_infographicvqa_1_453_3,Aquatics center,public
infographicvqa_infographicvqa_1_454_6,Walter Tewksbury,public
infographicvqa_infographicvqa_1_455_6,Hope Solo,public
infographicvqa_infographicvqa_1_455_7,LeBron James,public
infographicvqa_infographicvqa_1_461_2,861513,public
infographicvqa_infographicvqa_1_466_1,79%,public
infographicvqa_infographicvqa_1_467_6,16%,public
infographicvqa_infographicvqa_1_468_3,,public
infographicvqa_infographicvqa_1_471_5,5,public
infographicvqa_infographicvqa_1_472_2,Phase 1/2,public
infographicvqa_infographicvqa_1_474_4,LinkedIn,public
infographicvqa_infographicvqa_1_474_6,1,public
infographicvqa_infographicvqa_1_474_8,Referrals and Direct Sourcing,public
infographicvqa_infographicvqa_1_476_0,o,public
infographicvqa_infographicvqa_1_477_0,0,public
infographicvqa_infographicvqa_1_479_6,Increase in use of social media,public
infographicvqa_infographicvqa_1_480_1,Facebook,public
infographicvqa_infographicvqa_1_484_3,429,public
infographicvqa_infographicvqa_1_487_4,20,public
infographicvqa_infographicvqa_1_488_3,---------------------���-.--------.--------.--------.--------.-----------------------------------,public
infographicvqa_infographicvqa_1_491_5,2.05%,public
infographicvqa_infographicvqa_1_493_2,58%,public
infographicvqa_infographicvqa_1_495_11,10 Million,public
infographicvqa_infographicvqa_1_497_2,1596,public
infographicvqa_infographicvqa_1_497_3,8690,public
infographicvqa_infographicvqa_1_497_8,6596,public
infographicvqa_infographicvqa_1_499_3,1,public
websrc_websrc_1_0_213,3.0L,public
websrc_websrc_1_0_426,2.0,public
websrc_websrc_1_0_753,6.2L Gas V8 490 HP,public
websrc_websrc_1_0_1640,5,public
websrc_websrc_1_0_1740,4,public
websrc_websrc_1_0_1953,Automatic,public
websrc_websrc_1_0_2083,Automatic,public
websrc_websrc_1_0_2104,All wheel drive,public
websrc_websrc_1_0_2848,Front wheel drive,public
websrc_websrc_1_0_3004,Front wheel drive,public
websrc_websrc_1_0_3088,All wheel drive,public
websrc_websrc_1_0_3666,All wheel,public
websrc_websrc_1_0_4164,Engine and transmission,public
websrc_websrc_1_0_4338,Front wheel drive,public
websrc_websrc_1_0_4559,Front wheel drive,public
websrc_websrc_1_0_4680,"Years 50,000 Miles",public
websrc_websrc_1_0_5165,"50,000 miles",public
websrc_websrc_1_0_5230,"50,000 miles",public
websrc_websrc_1_0_5698,"22 mpg city, 29 mpg Hwy",public
websrc_websrc_1_0_5958,23 mpg city,public
websrc_websrc_1_0_6079,4,public
websrc_websrc_1_0_6141,4,public
websrc_websrc_1_0_6339,3,public
websrc_websrc_1_0_6620,4,public
websrc_websrc_1_0_6699,2,public
websrc_websrc_1_0_6718,4,public
websrc_websrc_1_0_6974,3.35,public
websrc_websrc_1_0_7186,288 HP,public
websrc_websrc_1_0_7297,24 mpg city,public
websrc_websrc_1_0_7311,2.0,public
websrc_websrc_1_0_7508,35,public
websrc_websrc_1_0_8181,32,public
websrc_websrc_1_1_653,2.9 liter,public
websrc_websrc_1_1_732,113 Mpge,public
websrc_websrc_1_1_738,Electric,public
websrc_websrc_1_1_951,228,public
websrc_websrc_1_2_545,Liane Moriarty,public
websrc_websrc_1_2_718,George Orwell,public
websrc_websrc_1_2_894,Campbell,public
websrc_websrc_1_2_992,Jamie Oliver,public
websrc_websrc_1_2_1013,Jamie Oliver,public
websrc_websrc_1_2_1188,Yotam ottolenghi,public
websrc_websrc_1_2_1237,David walliams,public
websrc_websrc_1_2_1744,Very,public
websrc_websrc_1_2_2237,$14.99,public
websrc_websrc_1_2_3130,10.00,public
websrc_websrc_1_3_351,Borderlands,public
websrc_websrc_1_3_355,Ride,public
websrc_websrc_1_3_1050,06 November 2010,public
websrc_websrc_1_3_1146,1,public
websrc_websrc_1_3_1254,Jason Gress,public
websrc_websrc_1_3_1430,1,public
websrc_websrc_1_3_1648,100,public
websrc_websrc_1_3_1693,100,public
websrc_websrc_1_3_1712,1,public
websrc_websrc_1_3_1766,Cheryl Gress,public
websrc_websrc_1_3_1948,100,public
websrc_websrc_1_3_2255,Tallowmere,public
websrc_websrc_1_3_2330,20 October 2018,public
websrc_websrc_1_3_2567,Cinque Pierre,public
websrc_websrc_1_3_2576,01 December 2019,public
websrc_websrc_1_3_3363,16 february 2019,public
websrc_websrc_1_3_3369,100,public
websrc_websrc_1_3_3482,25 march 2019,public
websrc_websrc_1_3_3796,Sam george,public
websrc_websrc_1_3_4539,10,public
websrc_websrc_1_3_4581,Rock band,public
websrc_websrc_1_3_4655,Bomberman: Act Zero,public
websrc_websrc_1_3_4679,06 October 2020,public
websrc_websrc_1_3_4806,29 September 2008,public
websrc_websrc_1_3_4816,Daniel cullen,public
websrc_websrc_1_3_4866,"Warhammer 40,000: Space Marine",public
websrc_websrc_1_3_5011,2,public
websrc_websrc_1_3_5344,Kendrik,public
websrc_websrc_1_3_5530,Earth Defense Force 41: The Shadow of New Despair,public
websrc_websrc_1_3_5537,100,public
websrc_websrc_1_3_5551,28 november 2018,public
websrc_websrc_1_3_6285,02 august 2020,public
websrc_websrc_1_3_6533,5,public
websrc_websrc_1_3_6554,Darius cozmic collection arcade,public
websrc_websrc_1_3_6878,Super robot wars,public
websrc_websrc_1_4_626,Capcom,public
websrc_websrc_1_4_677,Ubisoft,public
websrc_websrc_1_4_1256,Yes,public
websrc_websrc_1_4_2063,Konami,public
websrc_websrc_1_4_2297,Action-Adventure,public
websrc_websrc_1_4_2302,"January 27, 2002",public
websrc_websrc_1_4_2545,Yes,public
websrc_websrc_1_4_3287,Yes,public
websrc_websrc_1_4_3530,Yes,public
websrc_websrc_1_5_174,4 years,public
websrc_websrc_1_5_197,7,public
websrc_websrc_1_5_383,1 day ago,public
websrc_websrc_1_5_734,Krishna consultants,public
websrc_websrc_1_5_978,9.00,public
websrc_websrc_1_5_1281,Rs 40.00 70.00,public
websrc_websrc_1_5_1341,8 years,public
websrc_websrc_1_5_1372,Month ago,public
websrc_websrc_1_5_1385,3.00,public
websrc_websrc_1_5_1483,7 years,public
websrc_websrc_1_5_1690,10 years,public
websrc_websrc_1_5_2402,4.00,public
websrc_websrc_1_5_2649,7 years,public
websrc_websrc_1_5_2764,3.00,public
websrc_websrc_1_5_3967,Ahmedabad,public
websrc_websrc_1_5_4125,3 years,public
websrc_websrc_1_5_4140,15 years,public
websrc_websrc_1_5_4170,3,public
websrc_websrc_1_5_4551,1-3 years,public
websrc_websrc_1_6_156,Captain America: Civil War,public
websrc_websrc_1_6_1103,Teenage Mutant Ninja Turtles: Out of the Shadows,public
websrc_websrc_1_6_1378,Action,public
websrc_websrc_1_6_1399,Yes,public
websrc_websrc_1_6_1735,The Way You Look Tonight,public
websrc_websrc_1_6_1772,202,public
websrc_websrc_1_6_1958,151,public
websrc_websrc_1_6_2338,No,public
websrc_websrc_1_6_4007,Comedy,public
websrc_websrc_1_7_112,3 gb,public
websrc_websrc_1_7_201,Yes,public
websrc_websrc_1_7_513,16mp,public
websrc_websrc_1_7_665,Yes,public
websrc_websrc_1_7_666,Samsung galaxy a20,public
websrc_websrc_1_7_787,154.8 x 75 x 7.9 mm,public
websrc_websrc_1_7_2071,6GB,public
websrc_websrc_1_7_2400,Rs 12499,public
websrc_websrc_1_7_2537,Android,public
websrc_websrc_1_7_2585,16mp,public
websrc_websrc_1_7_2717,UFS 2.1,public
websrc_websrc_1_7_3108,5.5-inch,public
websrc_websrc_1_7_3136,3GB,public
websrc_websrc_1_7_3573,Android,public
websrc_websrc_1_7_3651,16mp,public
websrc_websrc_1_7_3895,Android,public
websrc_websrc_1_7_4176,16MP with f/2.0 aperture,public
websrc_websrc_1_7_4184,Android,public
websrc_websrc_1_7_4565,155g,public
websrc_websrc_1_7_5232,Vivo nex 3,public
websrc_websrc_1_8_51,Miye Oni,public
websrc_websrc_1_8_120,1,public
websrc_websrc_1_8_427,Marvin williams,public
websrc_websrc_1_8_507,Maurice harkless,public
websrc_websrc_1_8_861,Washington,public
websrc_websrc_1_8_895,D0b,public
websrc_websrc_1_8_1262,216,public
websrc_websrc_1_8_1374,215,public
websrc_websrc_1_8_1718,Mason plumlee,public
websrc_websrc_1_8_1729,2/11/2000 (20),public
websrc_websrc_1_8_2344,De'andre hunter,public
websrc_websrc_1_8_2788,181,public
websrc_websrc_1_8_2929,270,public
websrc_websrc_1_8_3007,220,public
websrc_websrc_1_8_3422,Tyler Herro,public
